Date,Close,Open,High,Low,Volume,Change %
12/11/2020,8119.10,8445.00,8496.40,7839.10,56380,-3.86%
12/12/2020,8445.10,8525.00,8673.90,8373.00,30690,-1.05%
12/13/2020,8535.00,8911.40,9040.20,8463.00,44210,-4.19%
12/14/2020,8908.00,8703.80,8910.00,8272.80,44910,2.32%
12/15/2020,8706.40,8888.60,9088.00,8453.10,54420,-2.18%
12/16/2020,8900.10,8899.80,9175.20,8755.70,42860,0.00%
12/17/2020,8899.70,8600.20,9025.00,8309.60,54280,3.48%
12/18/2020,8600.10,8209.00,8689.90,8100.00,73280,4.88%
12/19/2020,8200.20,7832.00,8285.60,7240.00,88920,4.45%
12/20/2020,7851.00,8250.00,8350.10,7729.50,48970,-4.85%
12/21/2020,8251.00,8250.10,8602.70,7903.20,56340,-0.02%
12/22/2020,8252.90,8181.30,8416.70,7666.30,82580,0.81%
12/23/2020,8186.60,9135.20,9400.10,7923.80,78810,-10.38%
12/24/2020,9135.00,9130.20,9479.00,8827.70,61540,0.15%
12/25/2020,9121.00,9528.00,9894.70,8776.80,67580,-4.27%
12/26/2020,9528.00,8764.40,9726.10,8429.00,70480,8.74%
12/27/2020,8762.00,9216.20,9500.00,8691.10,52540,-4.94%
12/28/2020,9217.00,9301.90,9420.50,8351.00,98200,-0.89%
12/29/2020,9300.00,9910.70,10109.00,9037.00,67750,-6.09%
12/30/2020,9902.90,10779.00,10899.00,9422.10,75220,-7.62%
12/31/2020,10720.00,11403.00,11403.00,10578.00,44240,-6.10%
1/1/2021,11416.00,11497.00,11696.00,11390.00,27560,-0.74%
1/2/2021,11501.00,11454.00,11544.00,11061.00,28070,0.53%
1/3/2021,11440.00,11024.00,11526.00,11024.00,30650,3.76%
1/4/2021,11025.00,10908.00,11189.00,10766.00,28860,0.92%
1/5/2021,10925.00,10316.00,11087.00,10224.00,33870,5.91%
1/6/2021,10315.00,10583.00,11063.00,10270.00,43890,-2.40%
